ID;NAME;URL
1;Purina;https://www.purina.co.uk/dogs/behaviour-and-training/understanding-dog-behaviours/amazing-dog-facts
2;Drake Center Vet;https://www.thedrakecenter.com/services/dogs/blog/23-amazing-facts-about-dogs-you-probably-didnt-know
3;Pet Assure;https://www.petassure.com/new-newsletters/50-fascinating-facts-about-dogs/
4;Petfinder;https://www.petfinder.com/dogs/bringing-a-dog-home/facts-about-new-dog/
